# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
61              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55180730e+00
62              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55059559e+00
63              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54945402e+00
64              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54837873e+00
65              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54736616e+00
66              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54641296e+00
67              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54551592e+00
68              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54467194e+00
69              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54388002e+00
70              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54313374e+00
71              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54243095e+00
72              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54176979e+00
73              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54114835e+00
74              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54056458e+00
75              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54001638e+00
76              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53950162e+00
77              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53901830e+00
78              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53856454e+00
79              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53813861e+00
80              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53773891e+00
81              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53736393e+00
82              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53701226e+00
83              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53668259e+00
84              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53637365e+00
85              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53608791e+00
86              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53581791e+00
87              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53556333e+00
88              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53532429e+00
89              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53510078e+00
90              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53489238e+00
91              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53469829e+00
92              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53451748e+00
93              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53434892e+00
94              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53419170e+00
95              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53404501e+00
96              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53390820e+00
97              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53378072e+00
98              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53366204e+00
99              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53355167e+00
100             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53344913e+00
101             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53335395e+00
102             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53326567e+00
103             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53318387e+00
104             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53310812e+00
105             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53303804e+00
106             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53297329e+00
107             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53291352e+00
108             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53285840e+00
