# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
3.65            	(5.34846983e-01 1.43242065e-08 0.00000000e+00)	0.00000000e+00
3.7             	(5.41427401e-01 1.56220514e-08 0.00000000e+00)	0.00000000e+00
3.75            	(5.47980528e-01 1.68231969e-08 0.00000000e+00)	0.00000000e+00
3.8             	(5.54506299e-01 1.79314938e-08 0.00000000e+00)	0.00000000e+00
3.85            	(5.61004653e-01 1.89522691e-08 0.00000000e+00)	0.00000000e+00
3.9             	(5.67475539e-01 1.98918337e-08 0.00000000e+00)	0.00000000e+00
3.95            	(5.73918913e-01 2.07588459e-08 0.00000000e+00)	0.00000000e+00
4               	(5.80334738e-01 2.15538714e-08 0.00000000e+00)	0.00000000e+00
4.05            	(5.86722982e-01 2.22430997e-08 0.00000000e+00)	0.00000000e+00
4.1             	(5.93083621e-01 2.28695641e-08 0.00000000e+00)	0.00000000e+00
4.15            	(5.99416637e-01 2.34423683e-08 0.00000000e+00)	0.00000000e+00
4.2             	(6.05722018e-01 2.39695065e-08 0.00000000e+00)	0.00000000e+00
4.25            	(6.11999758e-01 2.44442144e-08 0.00000000e+00)	0.00000000e+00
4.3             	(6.18249854e-01 2.49140596e-08 0.00000000e+00)	0.00000000e+00
4.35            	(6.24472311e-01 2.53365162e-08 0.00000000e+00)	0.00000000e+00
4.4             	(6.30667138e-01 2.57300717e-08 0.00000000e+00)	0.00000000e+00
4.45            	(6.36834349e-01 2.60908424e-08 0.00000000e+00)	0.00000000e+00
4.5             	(6.42973963e-01 2.64263421e-08 0.00000000e+00)	0.00000000e+00
4.55            	(6.49086002e-01 2.67367302e-08 0.00000000e+00)	0.00000000e+00
4.6             	(6.55170495e-01 2.70269459e-08 0.00000000e+00)	0.00000000e+00
4.65            	(6.61227472e-01 2.72971573e-08 0.00000000e+00)	0.00000000e+00
4.7             	(6.67256969e-01 2.75477102e-08 0.00000000e+00)	0.00000000e+00
4.75            	(6.73259024e-01 2.77816581e-08 0.00000000e+00)	0.00000000e+00
4.8             	(6.79233680e-01 2.79978640e-08 0.00000000e+00)	0.00000000e+00
4.85            	(6.85180983e-01 2.81976933e-08 0.00000000e+00)	0.00000000e+00
4.9             	(6.91100983e-01 2.83801208e-08 0.00000000e+00)	0.00000000e+00
4.95            	(6.96993731e-01 2.85482911e-08 0.00000000e+00)	0.00000000e+00
5               	(7.02859283e-01 2.87028987e-08 0.00000000e+00)	0.00000000e+00
5.05            	(7.08697697e-01 2.87770235e-08 0.00000000e+00)	0.00000000e+00
5.1             	(7.14509035e-01 2.88483407e-08 0.00000000e+00)	0.00000000e+00
5.15            	(7.20293358e-01 2.89199781e-08 0.00000000e+00)	0.00000000e+00
5.2             	(7.26050735e-01 2.89942143e-08 0.00000000e+00)	0.00000000e+00
5.25            	(7.31781231e-01 2.90674040e-08 0.00000000e+00)	0.00000000e+00
5.3             	(7.37484919e-01 2.91386101e-08 0.00000000e+00)	0.00000000e+00
5.35            	(7.43161870e-01 2.92030582e-08 0.00000000e+00)	0.00000000e+00
5.4             	(7.48812161e-01 2.92633306e-08 0.00000000e+00)	0.00000000e+00
5.45            	(7.54435866e-01 2.93164413e-08 0.00000000e+00)	0.00000000e+00
5.5             	(7.60033064e-01 2.93608553e-08 0.00000000e+00)	0.00000000e+00
5.55            	(7.65603837e-01 2.93989205e-08 0.00000000e+00)	0.00000000e+00
5.6             	(7.71148265e-01 2.94287128e-08 0.00000000e+00)	0.00000000e+00
5.65            	(7.76666433e-01 2.94386638e-08 0.00000000e+00)	0.00000000e+00
5.7             	(7.82158423e-01 2.94838666e-08 0.00000000e+00)	0.00000000e+00
5.75            	(7.87624323e-01 2.94923427e-08 0.00000000e+00)	0.00000000e+00
5.8             	(7.93064219e-01 2.95077199e-08 0.00000000e+00)	0.00000000e+00
5.85            	(7.98478203e-01 2.94765081e-08 0.00000000e+00)	0.00000000e+00
5.9             	(8.03866364e-01 2.94560842e-08 0.00000000e+00)	0.00000000e+00
5.95            	(8.09228792e-01 2.94148039e-08 0.00000000e+00)	0.00000000e+00
6               	(8.14565580e-01 2.93739750e-08 0.00000000e+00)	0.00000000e+00
6.05            	(8.19876820e-01 2.93166298e-08 0.00000000e+00)	0.00000000e+00
6.1             	(8.25162608e-01 2.92569157e-08 0.00000000e+00)	0.00000000e+00
6.15            	(8.30423038e-01 2.91864476e-08 0.00000000e+00)	0.00000000e+00
6.2             	(8.35658207e-01 2.90991175e-08 0.00000000e+00)	0.00000000e+00
6.25            	(8.40868209e-01 2.90461135e-08 0.00000000e+00)	0.00000000e+00
6.3             	(8.46053141e-01 2.89705793e-08 0.00000000e+00)	0.00000000e+00
6.35            	(8.51213103e-01 2.88922033e-08 0.00000000e+00)	0.00000000e+00
6.4             	(8.56348193e-01 2.87955891e-08 0.00000000e+00)	0.00000000e+00
6.45            	(8.61458510e-01 2.86929381e-08 0.00000000e+00)	0.00000000e+00
6.5             	(8.66544154e-01 2.85768238e-08 0.00000000e+00)	0.00000000e+00
6.55            	(8.71605224e-01 2.84532143e-08 0.00000000e+00)	0.00000000e+00
6.6             	(8.76641822e-01 2.83198569e-08 0.00000000e+00)	0.00000000e+00
6.65            	(8.81654049e-01 2.81835838e-08 0.00000000e+00)	0.00000000e+00
6.7             	(8.86642005e-01 2.80387101e-08 0.00000000e+00)	0.00000000e+00
6.75            	(8.91605792e-01 2.78898580e-08 0.00000000e+00)	0.00000000e+00
6.8             	(8.96545512e-01 2.77349792e-08 0.00000000e+00)	0.00000000e+00
6.85            	(9.01461267e-01 2.75758799e-08 0.00000000e+00)	0.00000000e+00
6.9             	(9.06353161e-01 2.74122128e-08 0.00000000e+00)	0.00000000e+00
6.95            	(9.11221296e-01 2.72344863e-08 0.00000000e+00)	0.00000000e+00
7               	(9.16065773e-01 2.70825221e-08 0.00000000e+00)	0.00000000e+00
7.05            	(9.20886696e-01 2.69291400e-08 0.00000000e+00)	0.00000000e+00
7.1             	(9.25684168e-01 2.67693557e-08 0.00000000e+00)	0.00000000e+00
7.15            	(9.30458293e-01 2.66011770e-08 0.00000000e+00)	0.00000000e+00
7.2             	(9.35209173e-01 2.64253421e-08 0.00000000e+00)	0.00000000e+00
7.25            	(9.39936912e-01 2.62393539e-08 0.00000000e+00)	0.00000000e+00
7.3             	(9.44641614e-01 2.60438300e-08 0.00000000e+00)	0.00000000e+00
7.35            	(9.49323382e-01 2.58293840e-08 0.00000000e+00)	0.00000000e+00
7.4             	(9.53982320e-01 2.56265719e-08 0.00000000e+00)	0.00000000e+00
7.45            	(9.58618530e-01 2.54210532e-08 0.00000000e+00)	0.00000000e+00
7.5             	(9.63232116e-01 2.52252449e-08 0.00000000e+00)	0.00000000e+00
7.55            	(9.67823181e-01 2.50302056e-08 0.00000000e+00)	0.00000000e+00
7.6             	(9.72391828e-01 2.48325993e-08 0.00000000e+00)	0.00000000e+00
7.65            	(9.76938160e-01 2.46327506e-08 0.00000000e+00)	0.00000000e+00
7.7             	(9.81462280e-01 2.44307719e-08 0.00000000e+00)	0.00000000e+00
7.75            	(9.85964291e-01 2.42266561e-08 0.00000000e+00)	0.00000000e+00
7.8             	(9.90444296e-01 2.40207964e-08 0.00000000e+00)	0.00000000e+00
7.85            	(9.94902396e-01 2.38133991e-08 0.00000000e+00)	0.00000000e+00
7.9             	(9.99338694e-01 2.36047832e-08 0.00000000e+00)	0.00000000e+00
7.95            	(1.00375329e+00 2.33953634e-08 0.00000000e+00)	0.00000000e+00
8               	(1.00814629e+00 2.31856685e-08 0.00000000e+00)	0.00000000e+00
8.05            	(1.01251780e+00 2.29558094e-08 0.00000000e+00)	0.00000000e+00
8.1             	(1.01686791e+00 2.27838706e-08 0.00000000e+00)	0.00000000e+00
8.15            	(1.02119673e+00 2.26317194e-08 0.00000000e+00)	0.00000000e+00
8.2             	(1.02550435e+00 2.24689204e-08 0.00000000e+00)	0.00000000e+00
8.25            	(1.02979088e+00 2.22525011e-08 0.00000000e+00)	0.00000000e+00
