"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.52983,-2.2114e-05,0,0.11789,1,0.9,9,0.4,0
0.47685,-1.9903e-05,0,0.11789,1,0.91,9,0.41,0
0.42387,-1.7692e-05,0,0.11789,1,0.92,9,0.42,0
0.37088,-1.548e-05,0,0.11789,1,0.93,9,0.43,0
0.3179,-1.3269e-05,0,0.11789,1,0.94,9,0.44,0
0.26492,-1.1057e-05,0,0.11789,1,0.95,9,0.45,0
0.21193,-8.8458e-06,0,0.11789,1,0.96,9,0.46,0
0.15895,-6.6343e-06,0,0.11789,1,0.97,9,0.47,0
0.10597,-4.4229e-06,0,0.11789,1,0.98,9,0.48,0
0.052983,-2.2114e-06,0,0.11789,1,0.99,9,0.49,0
0,0,0,0.11789,1,1,9,0.5,0
