# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
10.55           	-8.42895204e-02
10.6            	-8.45097087e-02
10.65           	-8.47288193e-02
10.7            	-8.49468577e-02
10.75           	-8.51638293e-02
10.8            	-8.53797396e-02
10.85           	-8.55945939e-02
10.9            	-8.58083975e-02
10.95           	-8.60211559e-02
11              	-8.62328742e-02
11.05           	-8.64435573e-02
11.1            	-8.66532107e-02
11.15           	-8.68618402e-02
11.2            	-8.70694511e-02
11.25           	-8.72760484e-02
11.3            	-8.74816372e-02
11.35           	-8.76862213e-02
11.4            	-8.78898062e-02
11.45           	-8.80923976e-02
11.5            	-8.82940007e-02
11.55           	-8.84946204e-02
11.6            	-8.86942615e-02
11.65           	-8.88929288e-02
11.7            	-8.90906274e-02
11.75           	-8.92873620e-02
11.8            	-8.94831377e-02
11.85           	-8.96779592e-02
11.9            	-8.98718313e-02
11.95           	-9.00647589e-02
12              	-9.02567468e-02
12.05           	-9.04477995e-02
12.1            	-9.06379220e-02
12.15           	-9.08271188e-02
12.2            	-9.10153946e-02
12.25           	-9.12027541e-02
12.3            	-9.13892019e-02
12.35           	-9.15747426e-02
12.4            	-9.17593808e-02
12.45           	-9.19431209e-02
12.5            	-9.21259676e-02
12.55           	-9.23079253e-02
12.6            	-9.24889985e-02
12.65           	-9.26691916e-02
12.7            	-9.28485091e-02
12.75           	-9.30269555e-02
12.8            	-9.32045349e-02
12.85           	-9.33812520e-02
12.9            	-9.35571109e-02
12.95           	-9.37321159e-02
13              	-9.39062715e-02
13.05           	-9.40795818e-02
13.1            	-9.42520511e-02
13.15           	-9.44236836e-02
13.2            	-9.45944835e-02
13.25           	-9.47644550e-02
13.3            	-9.49336023e-02
13.35           	-9.51019295e-02
13.4            	-9.52694408e-02
13.45           	-9.54361401e-02
13.5            	-9.56020316e-02
13.55           	-9.57671194e-02
13.6            	-9.59314074e-02
13.65           	-9.60948997e-02
13.7            	-9.62576003e-02
13.75           	-9.64195132e-02
13.8            	-9.65806422e-02
13.85           	-9.67409913e-02
13.9            	-9.69005645e-02
13.95           	-9.70593656e-02
14              	-9.72173984e-02
14.05           	-9.73746669e-02
14.1            	-9.75311748e-02
14.15           	-9.76869260e-02
14.2            	-9.78419242e-02
14.25           	-9.79961733e-02
14.3            	-9.81496769e-02
14.35           	-9.83024387e-02
14.4            	-9.84544626e-02
14.45           	-9.86057522e-02
14.5            	-9.87563111e-02
14.55           	-9.89061430e-02
14.6            	-9.90552516e-02
14.65           	-9.92036404e-02
14.7            	-9.93513131e-02
14.75           	-9.94982732e-02
14.8            	-9.96445242e-02
14.85           	-9.97900698e-02
14.9            	-9.99349135e-02
14.95           	-1.00079059e-01
15              	-1.00222509e-01
15.05           	-1.00365268e-01
15.1            	-1.00507338e-01
15.15           	-1.00648724e-01
15.2            	-1.00789429e-01
15.25           	-1.00929456e-01
15.3            	-1.01068808e-01
15.35           	-1.01207490e-01
15.4            	-1.01345504e-01
15.45           	-1.01482853e-01
15.5            	-1.01619541e-01
15.55           	-1.01755571e-01
15.6            	-1.01890947e-01
15.65           	-1.02025672e-01
15.7            	-1.02159748e-01
15.75           	-1.02293180e-01
15.8            	-1.02425970e-01
15.85           	-1.02558121e-01
15.9            	-1.02689637e-01
15.95           	-1.02820522e-01
16              	-1.02950777e-01
16.05           	-1.03080406e-01
16.1            	-1.03209413e-01
16.15           	-1.03337800e-01
16.2            	-1.03465570e-01
16.25           	-1.03592727e-01
16.3            	-1.03719274e-01
16.35           	-1.03845213e-01
16.4            	-1.03970547e-01
16.45           	-1.04095281e-01
16.5            	-1.04219415e-01
