# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
1               	(3.38059226e-01 1.96384161e-03 0.00000000e+00)	0.00000000e+00
2               	(6.91928195e-01 1.00911151e-02 0.00000000e+00)	0.00000000e+00
3               	(1.14713756e+00 2.33415991e-02 0.00000000e+00)	0.00000000e+00
4               	(1.40589596e+00 3.07576709e-02 0.00000000e+00)	0.00000000e+00
5               	(1.45069000e+00 3.03306513e-02 0.00000000e+00)	0.00000000e+00
6               	(1.36373679e+00 2.13424507e-02 0.00000000e+00)	0.00000000e+00
7               	(1.25180325e+00 7.35149680e-03 0.00000000e+00)	0.00000000e+00
8               	(1.17881356e+00 1.68795667e-02 0.00000000e+00)	0.00000000e+00
9               	(1.15222449e+00 2.07649481e-02 0.00000000e+00)	0.00000000e+00
10              	(1.16150293e+00 1.79625146e-02 0.00000000e+00)	0.00000000e+00
11              	(1.19211038e+00 1.15044000e-02 0.00000000e+00)	0.00000000e+00
12              	(1.22893459e+00 3.18424079e-03 0.00000000e+00)	0.00000000e+00
13              	(1.26083199e+00 5.22434686e-03 0.00000000e+00)	0.00000000e+00
14              	(1.28264129e+00 7.27053513e-03 0.00000000e+00)	0.00000000e+00
15              	(1.29460544e+00 7.66395677e-03 0.00000000e+00)	0.00000000e+00
16              	(1.30014801e+00 6.94111658e-03 0.00000000e+00)	0.00000000e+00
17              	(1.30315423e+00 5.78519752e-03 0.00000000e+00)	0.00000000e+00
18              	(1.30642517e+00 4.70462759e-03 0.00000000e+00)	0.00000000e+00
19              	(1.31125827e+00 3.94061164e-03 0.00000000e+00)	0.00000000e+00
20              	(1.31771488e+00 3.51953791e-03 0.00000000e+00)	0.00000000e+00
21              	(1.32516497e+00 3.38908251e-03 0.00000000e+00)	0.00000000e+00
22              	(1.33281205e+00 3.32205274e-03 0.00000000e+00)	0.00000000e+00
23              	(1.34004170e+00 3.26615159e-03 0.00000000e+00)	0.00000000e+00
24              	(1.34655616e+00 3.19090942e-03 0.00000000e+00)	0.00000000e+00
25              	(1.35234147e+00 3.08700715e-03 0.00000000e+00)	0.00000000e+00
26              	(1.35755164e+00 2.96015657e-03 0.00000000e+00)	0.00000000e+00
27              	(1.36238614e+00 2.82240394e-03 0.00000000e+00)	0.00000000e+00
28              	(1.36700606e+00 2.68514259e-03 0.00000000e+00)	0.00000000e+00
29              	(1.37150028e+00 2.55554676e-03 0.00000000e+00)	0.00000000e+00
30              	(1.37589069e+00 2.43607890e-03 0.00000000e+00)	0.00000000e+00
31              	(1.38015768e+00 2.32585155e-03 0.00000000e+00)	0.00000000e+00
32              	(1.38426825e+00 2.22252026e-03 0.00000000e+00)	0.00000000e+00
33              	(1.38819593e+00 2.12381399e-03 0.00000000e+00)	0.00000000e+00
34              	(1.39192964e+00 2.02833413e-03 0.00000000e+00)	0.00000000e+00
35              	(1.39547333e+00 1.93567003e-03 0.00000000e+00)	0.00000000e+00
36              	(1.39884047e+00 1.84609060e-03 0.00000000e+00)	0.00000000e+00
37              	(1.40204771e+00 1.76011267e-03 0.00000000e+00)	0.00000000e+00
38              	(1.40511004e+00 1.67815764e-03 0.00000000e+00)	0.00000000e+00
39              	(1.40803868e+00 1.60038344e-03 0.00000000e+00)	0.00000000e+00
40              	(1.41084106e+00 1.52667924e-03 0.00000000e+00)	0.00000000e+00
41              	(1.41352183e+00 1.45675447e-03 0.00000000e+00)	0.00000000e+00
42              	(1.41608447e+00 1.39025433e-03 0.00000000e+00)	0.00000000e+00
43              	(1.41853251e+00 1.32685617e-03 0.00000000e+00)	0.00000000e+00
44              	(1.42086997e+00 1.26631346e-03 0.00000000e+00)	0.00000000e+00
45              	(1.42310143e+00 1.20845938e-03 0.00000000e+00)	0.00000000e+00
46              	(1.42523179e+00 1.15318344e-03 0.00000000e+00)	0.00000000e+00
47              	(1.42726598e+00 1.10040437e-03 0.00000000e+00)	0.00000000e+00
48              	(1.42920870e+00 1.05004611e-03 0.00000000e+00)	0.00000000e+00
49              	(1.43106433e+00 1.00202413e-03 0.00000000e+00)	0.00000000e+00
50              	(1.43283685e+00 9.56242181e-04 0.00000000e+00)	0.00000000e+00
51              	(1.43452996e+00 9.12596065e-04 0.00000000e+00)	0.00000000e+00
52              	(1.43614712e+00 8.70979833e-04 0.00000000e+00)	0.00000000e+00
53              	(1.43769166e+00 8.31291141e-04 0.00000000e+00)	0.00000000e+00
54              	(1.43916679e+00 7.93434314e-04 0.00000000e+00)	0.00000000e+00
55              	(1.44057559e+00 7.57321273e-04 0.00000000e+00)	0.00000000e+00
56              	(1.44192108e+00 7.22870534e-04 0.00000000e+00)	0.00000000e+00
57              	(1.44320610e+00 6.90005671e-04 0.00000000e+00)	0.00000000e+00
58              	(1.44443340e+00 6.58654115e-04 0.00000000e+00)	0.00000000e+00
59              	(1.44560559e+00 6.28746174e-04 0.00000000e+00)	0.00000000e+00
60              	(1.44672516e+00 6.00214710e-04 0.00000000e+00)	0.00000000e+00
61              	(1.44779446e+00 5.72995183e-04 0.00000000e+00)	0.00000000e+00
62              	(1.44881575e+00 5.47025810e-04 0.00000000e+00)	0.00000000e+00
63              	(1.44979119e+00 5.22247756e-04 0.00000000e+00)	0.00000000e+00
64              	(1.45072284e+00 4.98605111e-04 0.00000000e+00)	0.00000000e+00
65              	(1.45161267e+00 4.76044768e-04 0.00000000e+00)	0.00000000e+00
66              	(1.45246256e+00 4.54516260e-04 0.00000000e+00)	0.00000000e+00
67              	(1.45327430e+00 4.33971569e-04 0.00000000e+00)	0.00000000e+00
68              	(1.45404963e+00 4.14364981e-04 0.00000000e+00)	0.00000000e+00
69              	(1.45479018e+00 3.95653565e-04 0.00000000e+00)	0.00000000e+00
70              	(1.45549752e+00 3.77796217e-04 0.00000000e+00)	0.00000000e+00
71              	(1.45617313e+00 3.60752145e-04 0.00000000e+00)	0.00000000e+00
72              	(1.45681842e+00 3.44483239e-04 0.00000000e+00)	0.00000000e+00
73              	(1.45743477e+00 3.28953705e-04 0.00000000e+00)	0.00000000e+00
74              	(1.45802348e+00 3.14129706e-04 0.00000000e+00)	0.00000000e+00
75              	(1.45858580e+00 2.99978890e-04 0.00000000e+00)	0.00000000e+00
76              	(1.45912291e+00 2.86470333e-04 0.00000000e+00)	0.00000000e+00
77              	(1.45963595e+00 2.73574472e-04 0.00000000e+00)	0.00000000e+00
78              	(1.46012600e+00 2.61263088e-04 0.00000000e+00)	0.00000000e+00
79              	(1.46059410e+00 2.49509367e-04 0.00000000e+00)	0.00000000e+00
80              	(1.46104121e+00 2.38287811e-04 0.00000000e+00)	0.00000000e+00
81              	(1.46146830e+00 2.27574148e-04 0.00000000e+00)	0.00000000e+00
82              	(1.46187626e+00 2.17345217e-04 0.00000000e+00)	0.00000000e+00
83              	(1.46226593e+00 2.07578893e-04 0.00000000e+00)	0.00000000e+00
84              	(1.46263816e+00 1.98254049e-04 0.00000000e+00)	0.00000000e+00
85              	(1.46299378e+00 1.89352194e-04 0.00000000e+00)	0.00000000e+00
86              	(1.46333352e+00 1.80856271e-04 0.00000000e+00)	0.00000000e+00
87              	(1.46365802e+00 1.72743421e-04 0.00000000e+00)	0.00000000e+00
88              	(1.46396796e+00 1.64994220e-04 0.00000000e+00)	0.00000000e+00
89              	(1.46426398e+00 1.57591940e-04 0.00000000e+00)	0.00000000e+00
90              	(1.46454674e+00 1.50521669e-04 0.00000000e+00)	0.00000000e+00
91              	(1.46481684e+00 1.43769397e-04 0.00000000e+00)	0.00000000e+00
92              	(1.46507486e+00 1.37321493e-04 0.00000000e+00)	0.00000000e+00
93              	(1.46532133e+00 1.31164596e-04 0.00000000e+00)	0.00000000e+00
94              	(1.46555678e+00 1.25285575e-04 0.00000000e+00)	0.00000000e+00
95              	(1.46578170e+00 1.19671683e-04 0.00000000e+00)	0.00000000e+00
96              	(1.46599657e+00 1.14311331e-04 0.00000000e+00)	0.00000000e+00
