# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
67              	U               	(9.22419045e-01 3.44871364e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871364e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
67              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69611377e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
68              	U               	(9.22419045e-01 3.44871369e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871369e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
68              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69526979e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
69              	U               	(9.22419045e-01 3.44871372e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871372e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
69              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69447788e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
70              	U               	(9.22419045e-01 3.44871375e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871375e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
70              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69373160e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
71              	U               	(9.22419045e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
71              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69302881e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
72              	U               	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
72              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69236765e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
73              	U               	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
73              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69174621e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
74              	U               	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419045e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
74              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69116245e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
75              	U               	(9.22419046e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871378e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
75              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69061424e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
76              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
76              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69009948e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
77              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
77              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68961616e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
78              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
78              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68916240e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
79              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
79              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68873647e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
80              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
80              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68833677e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
81              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
81              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68796179e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
82              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
82              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68761013e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
83              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
83              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68728045e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
84              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
84              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68697151e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
85              	U               	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
85              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68668577e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
86              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
86              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68641577e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
87              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
87              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68616119e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
88              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
88              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68592215e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
89              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
89              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68569864e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
90              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
90              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68549024e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
91              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
91              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68529615e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
92              	U               	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
92              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68511534e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
93              	U               	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
93              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68494678e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
94              	U               	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
94              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68478956e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
95              	U               	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871376e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
95              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68464287e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
96              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
96              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68450607e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
97              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
97              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68437858e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
98              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
98              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68425990e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
99              	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
99              	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68414953e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
100             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
100             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68404699e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
101             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
101             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68395181e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
102             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
102             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68386353e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
103             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
103             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68378173e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
104             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
104             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68370598e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
105             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
105             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68363590e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
106             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
106             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68357116e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
107             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
107             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68351138e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
108             	U               	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.22419046e-01 3.44871377e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
108             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.68345626e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
